id,alias,name,review_count,categories,rating,coordinates,transactions,price,location,distance,attributes,_page_url,search_term,location_dict,zip_code,coordinates_dict,latitude,longitude
zlHUrmQMK33VmeeptdiIzw,a-feel-like-home-for-your-babies-upper-darby,A feel like home for your babies,1,"[{'alias': 'childcare', 'title': 'Child Care & Day Care'}, {'alias': 'preschools', 'title': 'Preschools'}]",5,"{'latitude': 39.95340062209794, 'longitude': -75.26934829999999}",[],,"{'address1': '315 Sherbrook Blvd', 'address2': None, 'address3': '', 'city': 'Upper Darby', 'zip_code': '19082', 'country': 'US', 'state': 'PA', 'display_address': ['315 Sherbrook Blvd', 'Upper Darby, PA 19082']}",8365.766526533565,"{'business_temp_closed': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=700,Black owned,"{'address1': '315 Sherbrook Blvd', 'address2': None, 'address3': '', 'city': 'Upper Darby', 'zip_code': '19082', 'country': 'US', 'state': 'PA', 'display_address': ['315 Sherbrook Blvd', 'Upper Darby, PA 19082']}",19082,"{'latitude': 39.95340062209794, 'longitude': -75.26934829999999}",39.95340062209794,-75.2693483
fHK71jdnb1_acmFPIhM7KA,supreme-steamers-philadelphia,Supreme Steamers,0,"[{'alias': 'carpet_cleaning', 'title': 'Carpet Cleaning'}]",0,"{'latitude': 39.941557, 'longitude': -75.222225}",[],,"{'address1': '1309 S 53rd St', 'address2': None, 'address3': '', 'city': 'Philadelphia', 'zip_code': '19143', 'country': 'US', 'state': 'PA', 'display_address': ['1309 S 53rd St', 'Philadelphia, PA 19143']}",4556.461032945167,"{'business_temp_closed': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=700,Black owned,"{'address1': '1309 S 53rd St', 'address2': None, 'address3': '', 'city': 'Philadelphia', 'zip_code': '19143', 'country': 'US', 'state': 'PA', 'display_address': ['1309 S 53rd St', 'Philadelphia, PA 19143']}",19143,"{'latitude': 39.941557, 'longitude': -75.222225}",39.941557,-75.222225
CAIiXqybPeRzPZ20pjvKPA,signature-works-notary-services-philadelphia,Signature Works Notary Services,0,"[{'alias': 'notaries', 'title': 'Notaries'}]",0,"{'latitude': 39.939400175938104, 'longitude': -75.18352845348512}",[],,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Philadelphia', 'zip_code': '19146', 'country': 'US', 'state': 'PA', 'display_address': ['Philadelphia, PA 19146']}",1913.4509480853767,"{'business_temp_closed': None, 'waitlist_reservation': False}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=700,Black owned,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Philadelphia', 'zip_code': '19146', 'country': 'US', 'state': 'PA', 'display_address': ['Philadelphia, PA 19146']}",19146,"{'latitude': 39.939400175938104, 'longitude': -75.18352845348512}",39.939400175938104,-75.18352845
zS2oWy2dggJ4gpG-jdbXAQ,embry-care-services-philadelphia,Embry Care Services,0,"[{'alias': 'homehealthcare', 'title': 'Home Health Care'}, {'alias': 'personalcare', 'title': 'Personal Care Services'}]",0,"{'latitude': 39.9480599, 'longitude': -75.1436193}",[],,"{'address1': '128 Chestnut St', 'address2': 'Ste 200D', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19106', 'country': 'US', 'state': 'PA', 'display_address': ['128 Chestnut St', 'Ste 200D', 'Philadelphia, PA 19106']}",2435.893213743868,"{'business_temp_closed': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=700,Black owned,"{'address1': '128 Chestnut St', 'address2': 'Ste 200D', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19106', 'country': 'US', 'state': 'PA', 'display_address': ['128 Chestnut St', 'Ste 200D', 'Philadelphia, PA 19106']}",19106,"{'latitude': 39.9480599, 'longitude': -75.1436193}",39.9480599,-75.1436193
JXHEyz6h5xl5Xd2ZpmXceQ,sacred-paradise-spa-philadelphia-3,Sacred Paradise Spa,35,"[{'alias': 'massage', 'title': 'Massage'}, {'alias': 'skincare', 'title': 'Skin Care'}, {'alias': 'bodycontouring', 'title': 'Body Contouring'}]",4.6,"{'latitude': 40.0604616, 'longitude': -75.1909623}",[],$$,"{'address1': '7203 Germantown Ave', 'address2': '', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19119', 'country': 'US', 'state': 'PA', 'display_address': ['7203 Germantown Ave', 'Philadelphia, PA 19119']}",11980.984984461851,"{'business_temp_closed': None, 'menu_url': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=700,Black owned,"{'address1': '7203 Germantown Ave', 'address2': '', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19119', 'country': 'US', 'state': 'PA', 'display_address': ['7203 Germantown Ave', 'Philadelphia, PA 19119']}",19119,"{'latitude': 40.0604616, 'longitude': -75.1909623}",40.0604616,-75.1909623
f0xSE4jLdux1Xh6CUiLing,sana-and-ana-pro-painting-service-philadelphia-2,Sana and Ana Pro Painting Service,1,"[{'alias': 'painters', 'title': 'Painters'}]",5,"{'latitude': 40.06024117273102, 'longitude': -75.08044761916804}",[],,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Philadelphia', 'zip_code': '19111', 'country': 'US', 'state': 'PA', 'display_address': ['Philadelphia, PA 19111']}",14137.929555911058,"{'business_temp_closed': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=700,Black owned,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Philadelphia', 'zip_code': '19111', 'country': 'US', 'state': 'PA', 'display_address': ['Philadelphia, PA 19111']}",19111,"{'latitude': 40.06024117273102, 'longitude': -75.08044761916804}",40.06024117273102,-75.08044762
NI4fLSfvSTyP4sY8J5SIDA,smw-movers-wyncote,Smw Movers,3,"[{'alias': 'movers', 'title': 'Movers'}]",2.3,"{'latitude': 40.08161312199192, 'longitude': -75.16215370000013}",[],,"{'address1': '8460 Limekiln Pike', 'address2': None, 'address3': '', 'city': 'Wyncote', 'zip_code': '19095', 'country': 'US', 'state': 'PA', 'display_address': ['8460 Limekiln Pike', 'Wyncote, PA 19095']}",14235.022966289218,"{'business_temp_closed': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=700,Black owned,"{'address1': '8460 Limekiln Pike', 'address2': None, 'address3': '', 'city': 'Wyncote', 'zip_code': '19095', 'country': 'US', 'state': 'PA', 'display_address': ['8460 Limekiln Pike', 'Wyncote, PA 19095']}",19095,"{'latitude': 40.08161312199192, 'longitude': -75.16215370000013}",40.08161312199192,-75.1621537
PPA-vXrGoUGUtpwYWt09gQ,mva-virtual-administrative-services-philadelphia,MVA Virtual Administrative Services,4,"[{'alias': 'notaries', 'title': 'Notaries'}, {'alias': 'marketing', 'title': 'Marketing'}]",5,"{'latitude': 40.072767, 'longitude': -75.1950922}",[],,"{'address1': '7715 Crittenden St', 'address2': '', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19118', 'country': 'US', 'state': 'PA', 'display_address': ['7715 Crittenden St', 'Philadelphia, PA 19118']}",13386.005552205705,"{'business_temp_closed': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=700,Black owned,"{'address1': '7715 Crittenden St', 'address2': '', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19118', 'country': 'US', 'state': 'PA', 'display_address': ['7715 Crittenden St', 'Philadelphia, PA 19118']}",19118,"{'latitude': 40.072767, 'longitude': -75.1950922}",40.072767,-75.1950922
SW0wWUFbKzRUp5ZwrYrV_A,unique-hair-lounge-philadelphia,Unique Hair Lounge,0,"[{'alias': 'hair_extensions', 'title': 'Hair Extensions'}]",0,"{'latitude': 39.941231, 'longitude': -75.163995}",[],,"{'address1': '758 S 13th St', 'address2': None, 'address3': '', 'city': 'Philadelphia', 'zip_code': '19147', 'country': 'US', 'state': 'PA', 'display_address': ['758 S 13th St', 'Philadelphia, PA 19147']}",1547.846350066441,"{'business_temp_closed': None, 'menu_url': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=700,Black owned,"{'address1': '758 S 13th St', 'address2': None, 'address3': '', 'city': 'Philadelphia', 'zip_code': '19147', 'country': 'US', 'state': 'PA', 'display_address': ['758 S 13th St', 'Philadelphia, PA 19147']}",19147,"{'latitude': 39.941231, 'longitude': -75.163995}",39.941231,-75.163995
KslwTGFsHThZZ38Ixdde8A,premium-lawn-care-and-snow-philadelphia-2,Premium Lawn Care & Snow,0,"[{'alias': 'lawnservices', 'title': 'Lawn Services'}, {'alias': 'snowremoval', 'title': 'Snow Removal'}, {'alias': 'junkremovalandhauling', 'title': 'Junk Removal & Hauling'}]",0,"{'latitude': 40.033661, 'longitude': -75.119991}",[],,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Philadelphia', 'zip_code': '19120', 'country': 'US', 'state': 'PA', 'display_address': ['Philadelphia, PA 19120']}",9895.715144507683,"{'business_temp_closed': None, 'waitlist_reservation': None}",https://api.yelp.com/v3/businesses/search?&term=Black+owned&location=Philadelphia%2C+PA&sort=distance&limit=50&offset=700,Black owned,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Philadelphia', 'zip_code': '19120', 'country': 'US', 'state': 'PA', 'display_address': ['Philadelphia, PA 19120']}",19120,"{'latitude': 40.033661, 'longitude': -75.119991}",40.033661,-75.119991
